Register Field Name,CSV Field Name,API Field Name,HESA Alignment,Code,Label,Data Source,Academic Year,Status
Awarding Institution,Awarding Institution,institution,DEGEST,0128,British Postgraduate Medical Federation,HESA,25/26,No Change
Awarding Institution,Awarding Institution,institution,DEGEST,0129,Charing Cross and Westminster Medical School,HESA,25/26,No Change
Awarding Institution,Awarding Institution,institution,DEGEST,0131,Goldsmiths College,HESA,25/26,No Change
Awarding Institution,Awarding Institution,institution,DEGEST,0132,"Imperial College of Science, Technology and Medicine",HESA,25/26,No Change
Awarding Institution,Awarding Institution,institution,DEGEST,0133,Institute of Education,HESA,25/26,No Change
Awarding Institution,Awarding Institution,institution,DEGEST,0134,King's College London,HESA,25/26,No Change
Awarding Institution,Awarding Institution,institution,DEGEST,0135,London Business School,HESA,25/26,No Change
Awarding Institution,Awarding Institution,institution,DEGEST,0136,The London Hospital Medical College,HESA,25/26,No Change
Awarding Institution,Awarding Institution,institution,DEGEST,0137,London School of Economics and Political Science,HESA,25/26,No Change
Awarding Institution,Awarding Institution,institution,DEGEST,0138,London School of Hygiene and Tropical Medicine,HESA,25/26,No Change
Awarding Institution,Awarding Institution,institution,DEGEST,0139,Queen Mary University of London,HESA,25/26,No Change
Awarding Institution,Awarding Institution,institution,DEGEST,0140,Royal Free Hospital School of Medicine,HESA,25/26,No Change
Awarding Institution,Awarding Institution,institution,DEGEST,0141,Royal Holloway and Bedford New College,HESA,25/26,No Change
Awarding Institution,Awarding Institution,institution,DEGEST,0142,Royal Postgraduate Medical School,HESA,25/26,No Change
Awarding Institution,Awarding Institution,institution,DEGEST,0143,The Royal Veterinary College,HESA,25/26,No Change
Awarding Institution,Awarding Institution,institution,DEGEST,0144,St Bartholomew's Hospital Medical College,HESA,25/26,No Change
Awarding Institution,Awarding Institution,institution,DEGEST,0145,"St George's, University of London",HESA,25/26,No Change
Awarding Institution,Awarding Institution,institution,DEGEST,0146,SOAS University of London,HESA,25/26,No Change
Awarding Institution,Awarding Institution,institution,DEGEST,0147,The School of Pharmacy,HESA,25/26,No Change
Awarding Institution,Awarding Institution,institution,DEGEST,0148,"United Medical and Dental Schools, Guy's and St Thomas's Hospitals",HESA,25/26,No Change
Awarding Institution,Awarding Institution,institution,DEGEST,0149,University College London,HESA,25/26,No Change
Awarding Institution,Awarding Institution,institution,DEGEST,0150,Wye College,HESA,25/26,No Change
Awarding Institution,Awarding Institution,institution,DEGEST,0151,University of London (Institutes and activities),HESA,25/26,No Change
Awarding Institution,Awarding Institution,institution,DEGEST,0152,Loughborough University,HESA,25/26,No Change
Awarding Institution,Awarding Institution,institution,DEGEST,0153,University of Manchester,HESA,25/26,No Change
Awarding Institution,Awarding Institution,institution,DEGEST,0154,Newcastle University,HESA,25/26,No Change
Awarding Institution,Awarding Institution,institution,DEGEST,0155,University of Nottingham,HESA,25/26,No Change
Awarding Institution,Awarding Institution,institution,DEGEST,0156,The University of Oxford,HESA,25/26,No Change
Awarding Institution,Awarding Institution,institution,DEGEST,0157,The University of Reading,HESA,25/26,No Change
Awarding Institution,Awarding Institution,institution,DEGEST,0158,The University of Salford,HESA,25/26,No Change
Awarding Institution,Awarding Institution,institution,DEGEST,0159,The University of Sheffield,HESA,25/26,No Change
Awarding Institution,Awarding Institution,institution,DEGEST,0160,The University of Southampton,HESA,25/26,No Change
Awarding Institution,Awarding Institution,institution,DEGEST,0161,The University of Surrey,HESA,25/26,No Change
Awarding Institution,Awarding Institution,institution,DEGEST,0162,The University of Sussex,HESA,25/26,No Change
Awarding Institution,Awarding Institution,institution,DEGEST,0163,The University of Warwick,HESA,25/26,No Change
Awarding Institution,Awarding Institution,institution,DEGEST,0164,The University of York,HESA,25/26,No Change
Awarding Institution,Awarding Institution,institution,DEGEST,0165,The University of Manchester Institute of Science and Technology,HESA,25/26,No Change
Awarding Institution,Awarding Institution,institution,DEGEST,0167,The University of Edinburgh,HESA,25/26,No Change
Awarding Institution,Awarding Institution,institution,DEGEST,0168,The University of Glasgow,HESA,25/26,No Change
Awarding Institution,Awarding Institution,institution,DEGEST,0169,The University of Strathclyde,HESA,25/26,No Change
Awarding Institution,Awarding Institution,institution,DEGEST,0170,The University of Aberdeen,HESA,25/26,No Change
